Test Time(ms),Current (A),Inlet Temp,Outlet Temp,Thermocouple Temp,Average Tab Temp,Test Time (s)
3751630,14.0161,23.2113755,23.9212702,25.1769,23.56632285,1379
3752630,14.016,23.1724093,23.6150074,25.205,23.39370835,1380
3753630,14.0158,23.1173856,23.6929498,25.1798,23.4051677,1381
3754630,14.0157,23.1283047,23.4938578,25.2442,23.31108125,1382
3755630,14.016,23.180331,23.5080484,25.1903,23.3441897,1383
3756630,14.016,23.1411507,23.6135248,25.2023,23.37733775,1384
3757630,14.0159,23.1285188,23.5004236,25.2007,23.3144712,1385
3758630,14.0159,23.1323726,23.638729,25.2301,23.3855508,1386
3759630,14.016,23.2240074,23.6410588,25.2323,23.4325331,1387
3760630,14.016,23.2526968,23.5440544,25.1942,23.3983756,1388
3761630,14.016,23.2443469,23.9672308,25.1948,23.60578885,1389
3762630,14.0161,23.2120178,23.8041448,25.2229,23.5080813,1390
3763630,14.0159,23.3248485,23.8312552,25.1704,23.57805185,1391
3764630,14.016,23.2362111,24.0017542,25.1208,23.61898265,1392
3765630,14.0159,23.6862493,23.773222,25.183,23.72973565,1393
3766630,14.0159,23.3164986,23.8429042,25.2084,23.5797014,1394
3767630,14.016,23.3257049,23.6855368,25.1666,23.50562085,1395
3768630,14.0159,23.3535379,23.714977,25.1738,23.53425745,1396
3769630,14.016,23.6312256,23.7600904,25.2327,23.695658,1397
3770630,14.016,23.7329231,24.01891,25.1429,23.87591655,1398
3771630,14.0161,23.7309962,23.6677456,25.178,23.6993709,1399
3772630,14.0159,23.3220652,23.7304384,25.1713,23.5262518,1400
3773630,14.016,23.6361499,24.1455664,25.2528,23.89085815,1401
3774630,14.0161,23.6537061,23.7823294,25.133,23.71801775,1402
3775630,14.0159,23.2860964,23.5950982,25.1207,23.4405973,1403
3776630,14.016,23.4687237,23.7111646,25.1967,23.58994415,1404
3777630,14.016,23.4107026,23.710741,25.1436,23.5607218,1405
3778630,14.0159,23.2948745,23.7497122,25.2039,23.52229335,1406
3779630,14.016,23.3126448,23.7969436,25.2651,23.5547942,1407
3780630,14.016,23.5911889,23.8437514,25.2028,23.71747015,1408
3781630,14.0159,23.3406919,23.54236,25.2091,23.44152595,1409
3782630,14.016,23.7331372,23.7162478,25.1739,23.7246925,1410
