Test Time(ms),Current (A),Inlet Temp,Outlet Temp,Thermocouple Temp,Average Tab Temp,Test Time (s)
6400630,0,21.5544556,21.7289284,25.2068,21.641692,0
6460530,0,21.5077818,22.168837,25.2158,21.8383094,59.9
6520530,0,21.7679133,22.3050244,25.3086,22.03646885,119.9
6580530,0,21.4587529,21.867022,25.2292,21.66288745,179.9
6640530,0,21.767271,21.99622,25.1224,21.8817455,239.9
6700530,0,21.5439647,21.9057814,25.1804,21.72487305,299.9
6760530,0,21.8554802,22.2046312,25.2067,22.0300557,359.9
6820530,0,21.7238087,22.0440868,25.1472,21.88394775,419.9
6880530,0,21.7647018,21.9811822,25.209,21.872942,479.9
6940530,0,21.664503,22.0510762,25.1469,21.8577896,539.9
7000530,0,21.6861271,21.9714394,25.132,21.82878325,599.9
7060530,0,21.8115897,21.9977026,25.0862,21.90464615,659.9
7120530,0,21.7435059,22.1790034,25.1101,21.96125465,719.9
7180530,0,21.632388,22.0250248,25.1384,21.8287064,779.9
7240530,0,21.6060537,22.0455694,25.2278,21.82581155,839.9
7300530,0,21.767271,22.0603954,25.2209,21.9138332,899.9
7360530,0,21.7901797,22.4905612,25.2201,22.14037045,959.9
7420530,0,21.9775172,22.290622,25.3398,22.1340696,1019.9
7480530,0,22.019909,22.4486248,25.3321,22.2342669,1079.9
7540530,0,21.6501583,22.1069914,25.2631,21.87857485,1139.9
7600530,0,21.8205819,22.3141318,25.2664,22.06735685,1199.9
7660530,0,21.865757,22.132831,25.2569,21.999294,1259.9
7720530,0,21.8541956,22.4988214,25.3165,22.1765085,1319.9
7780530,0,21.7970309,22.2272938,25.346,22.01216235,1379.9
7840530,0,21.9509688,22.154011,25.3467,22.0524899,1439.9
7900530,0,21.8788171,22.3003648,25.3752,22.08959095,1499.9
7960530,0,21.820796,22.1029672,25.239,21.9618816,1559.9
8020530,0,21.6550826,21.9216664,25.2261,21.7883745,1619.9
8080530,0,21.703041,22.040698,25.2014,21.8718695,1679.9
8140530,0,22.1464421,22.090471,25.1423,22.11845655,1739.9
8200530,0,21.5735105,22.2675358,25.1936,21.92052315,1799.9
8260530,0,21.6225394,22.035403,25.1453,21.8289712,1859.9
8320530,0,21.4185021,21.9839356,25.1926,21.70121885,1919.9
8380530,0,21.7619185,21.9777934,25.1864,21.86985595,1979.9
8440530,0,21.8353548,22.1501986,25.2378,21.9927767,2039.9
8500530,0,21.6480173,21.8824834,25.2323,21.76525035,2099.9
8560530,0,21.7357983,21.9282322,25.1879,21.83201525,2159.9
8620530,0,21.6287483,21.7945864,25.1782,21.71166735,2219.9
8680530,0,21.7235946,21.8318632,25.1751,21.7777289,2279.9
8740530,0,21.8880234,21.9837238,25.2629,21.9358736,2339.9
8800530,0,21.7004718,21.950683,25.162,21.8255774,2399.9
8860530,0,21.5613068,21.8699872,25.1344,21.715647,2459.9
8920530,0,21.4835885,21.9131944,25.1815,21.69839145,2519.9
8980530,0,21.4936512,21.9996088,25.1883,21.74663,2579.9
9040530,0,21.7392239,22.4045704,25.2307,22.07189715,2639.9
9100530,0,21.5619491,22.170955,25.2228,21.86645205,2699.9
9160530,0,21.7006859,22.2645706,25.2209,21.98262825,2759.9
9220530,0,21.6229676,21.9714394,25.2579,21.7972035,2819.9
9280530,0,21.6835579,21.9996088,25.2849,21.84158335,2879.9
9340530,0,21.8045244,22.100002,25.3776,21.9522632,2939.9
9400530,0,21.6552967,22.141303,25.3502,21.89829985,2999.9
9460530,0,21.7946758,22.1152516,25.3751,21.9549637,3059.9
9520530,0,21.8997989,22.2364012,25.3543,22.06810005,3119.9
9580530,0,21.730874,22.0779748,25.3432,21.9044244,3179.9
9640530,0,21.7563519,22.1173696,25.3426,21.93686075,3239.9
9700530,0,21.8801017,22.5629968,25.3457,22.22154925,3299.9
9760530,0,21.5951346,21.9352216,25.3162,21.7651781,3359.9
9820530,0,21.396878,21.9864772,25.2807,21.6916776,3419.9
9880530,0,21.7700543,21.880789,25.2198,21.82542165,3479.9
9940530,0,21.5619491,22.2442378,25.1885,21.90309345,3539.9
10000530,0,21.4882987,21.8036938,25.1106,21.64599625,3599.9
10000630,14.0168,21.4152906,21.7011826,25.1602,21.5582366,3600
10001530,14.0164,21.4152906,21.7011826,25.1602,21.5582366,3600.9
10002530,14.0157,21.713746,21.7446016,25.1298,21.7291738,3601.9
10003530,14.0161,21.4317763,21.7020298,25.087,21.56690305,3602.9
10004530,14.0159,21.4444082,21.7539208,25.1375,21.5991645,3603.9
10005530,14.016,21.8066654,21.7990342,25.2099,21.8028498,3604.9
10006530,14.0159,21.5120638,21.6973702,25.1544,21.604717,3605.9
10007530,14.0159,21.3763244,21.7530736,25.151,21.564699,3606.9
10008530,14.0158,21.8895221,21.8507134,25.1322,21.87011775,3607.9
10009530,14.0159,21.55103,21.7986106,25.1575,21.6748203,3608.9
10010530,14.0159,21.4437659,21.8769766,25.0856,21.66037125,3609.9
10011530,14.016,21.8715377,21.8481718,25.1238,21.85985475,3610.9
10012530,14.0159,21.613119,21.8369464,25.1517,21.7250327,3611.9
10013530,14.016,21.2998907,22.1605768,25.2334,21.73023375,3612.9
10014530,14.0159,21.6415943,21.8221204,25.177,21.73185735,3613.9
10015530,14.016,21.4683874,21.733588,25.1587,21.6009877,3614.9
10016530,14.0159,21.57244,21.7943746,25.1463,21.6834073,3615.9
10017530,14.0159,21.6593646,21.999397,25.1643,21.8293808,3616.9
10018530,14.0158,21.518915,22.2944344,25.1009,21.9066747,3617.9
10019530,14.016,21.4050138,21.9117118,25.1287,21.6583628,3618.9
10020530,14.0159,21.5469621,21.7789132,25.2445,21.66293765,3619.9
10021530,14.0159,21.6343149,22.3162498,25.1653,21.97528235,3620.9
10022530,14.0158,21.4686015,21.9341626,25.1589,21.70138205,3621.9
10023530,14.016,21.3983767,21.8424532,25.1449,21.62041495,3622.9
10024530,14.0159,21.5371135,21.9722866,25.1171,21.75470005,3623.9
10025530,14.0159,21.600273,22.0421806,25.1927,21.8212268,3624.9
10026530,14.0158,21.6248945,21.969745,25.1531,21.79731975,3625.9
10027530,14.0159,21.4808052,21.868081,25.2394,21.6744431,3626.9
10028530,14.0159,21.6405238,22.0275664,25.201,21.8340451,3627.9
10029530,14.016,21.6724247,21.9608494,25.1513,21.81663705,3628.9
10030530,14.016,21.5884975,22.2584284,25.1989,21.92346295,3629.9
10031530,14.0159,21.4805911,21.9727102,25.2343,21.72665065,3630.9
10032530,14.0159,21.8516264,22.0008796,25.1721,21.926253,3631.9
10033530,14.0158,21.497505,21.8962504,25.1279,21.6968777,3632.9
10034530,14.0158,21.6621479,21.9578842,25.0846,21.81001605,3633.9
10035530,14.016,22.0289012,21.9013336,25.1401,21.9651174,3634.9
10036530,14.016,21.5929936,21.9869008,25.2217,21.7899472,3635.9
10037530,14.016,22.0415331,21.9561898,25.1806,21.99886145,3636.9
10038530,14.0159,21.6946911,22.114828,25.1015,21.90475955,3637.9
10039530,14.0158,21.6591505,21.9680506,25.1747,21.81360055,3638.9
10040530,14.0158,21.5266226,22.3073542,25.177,21.9169884,3639.9
10041530,14.0159,21.715887,21.950683,25.2046,21.833285,3640.9
10042530,14.0157,21.6368841,22.4128306,25.0639,22.02485735,3641.9
10043530,14.0159,21.7139601,22.361575,25.088,22.03776755,3642.9
10044530,14.0159,21.7317304,22.0487464,25.1564,21.8902384,3643.9
10045530,14.0158,21.6203984,21.9957964,25.1793,21.8080974,3644.9
10046530,14.0158,21.5465339,21.9928312,25.1593,21.76968255,3645.9
10047530,14.0158,21.4767373,21.9847828,25.1634,21.73076005,3646.9
10048530,14.0159,22.0077053,21.9540718,25.1412,21.98088855,3647.9
10049530,14.0159,21.5279072,21.8951914,25.149,21.7115493,3648.9
10050530,14.016,21.6028422,21.9269614,25.1342,21.7649018,3649.9
10051530,14.0159,21.4998601,22.1122864,25.1077,21.80607325,3650.9
10052530,14.0157,21.6096934,21.9066286,25.1273,21.758161,3651.9
10053530,14.0159,21.4471915,22.047052,25.2366,21.74712175,3652.9
10054530,14.0158,21.4377711,22.289563,25.1304,21.86366705,3653.9
10055530,14.016,21.7662005,21.9521656,25.1832,21.85918305,3654.9
10056530,14.0159,21.5152753,21.9345862,25.1781,21.72493075,3655.9
10057530,14.0158,21.510351,21.8951914,25.1457,21.7027712,3656.9
10058530,14.0159,21.5279072,21.9843592,25.179,21.7561332,3657.9
10059530,14.0159,21.4692438,22.1908642,25.1176,21.830054,3658.9
10060530,14.0159,21.4399121,21.7698058,25.2005,21.60485895,3659.9
10061530,14.0157,21.8634019,21.9201838,25.158,21.89179285,3660.9
10062530,14.0159,21.4499748,21.9011218,25.0678,21.6755483,3661.9
10063530,14.0159,21.589568,21.871258,25.1524,21.730413,3662.9
10064530,14.016,21.6009153,21.8985802,25.1411,21.74974775,3663.9
10065530,14.0158,21.5557402,21.8788828,25.1048,21.7173115,3664.9
10066530,14.016,21.5619491,21.8430886,25.1169,21.70251885,3665.9
10067530,14.0159,21.6253227,22.2671122,25.1397,21.94621745,3666.9
10068530,14.0158,21.5283354,21.9309856,25.0876,21.7296605,3667.9
10069530,14.0159,21.3735411,22.0453576,25.0909,21.70944935,3668.9
10070530,14.0158,21.5478185,21.944329,25.1062,21.74607375,3669.9
10071530,14.0156,21.6433071,21.871258,25.1588,21.75728255,3670.9
10072530,14.0159,21.6043409,22.1967946,25.1046,21.90056775,3671.9
10073530,14.0159,21.9361959,21.9841474,25.1503,21.96017165,3672.9
10074530,14.0159,21.9901491,21.851137,25.1681,21.92064305,3673.9
10075530,14.0159,21.7310881,22.0106224,25.1668,21.87085525,3674.9
10076530,14.0159,21.9781595,21.8898964,25.1591,21.93402795,3675.9
10077530,14.0157,22.0181962,22.3268398,25.2098,22.172518,3676.9
10078530,14.016,21.9970003,22.2565222,25.1318,22.12676125,3677.9
10079530,14.0159,21.5525287,21.9678388,25.1662,21.76018375,3678.9
10080530,14.0158,21.7047538,22.4551906,25.1424,22.0799722,3679.9
10081530,14.0157,21.6334585,21.8473246,25.167,21.74039155,3680.9
10082530,14.0159,21.6651453,22.0390036,25.2161,21.85207445,3681.9
10083530,14.0158,22.0901338,21.8549494,25.2097,21.9725416,3682.9
10084530,14.0158,22.0017105,22.4005462,25.1159,22.20112835,3683.9
10085530,14.0158,21.7250933,22.0896238,25.0892,21.90735855,3684.9
10086530,14.0159,21.7238087,22.1415148,25.1446,21.93266175,3685.9
10087530,14.0158,21.5972756,21.9890188,25.1352,21.7931472,3686.9
10088530,14.016,21.6931924,22.060819,25.1777,21.8770057,3687.9
10089530,14.016,21.8989425,22.0578538,25.1329,21.97839815,3688.9
10090530,14.0159,21.6715683,22.1027554,25.0989,21.88716185,3689.9
10091530,14.0159,21.6632184,22.0474756,25.1936,21.855347,3690.9
10092530,14.0159,21.6225394,22.0468402,25.0917,21.8346898,3691.9
10093530,14.0159,22.0094181,21.9669916,25.1881,21.98820485,3692.9
10094530,14.0159,21.6328162,22.2664768,25.1311,21.9496465,3693.9
10095530,14.0159,21.7916784,22.0434514,25.1666,21.9175649,3694.9
10096530,14.0159,21.6043409,21.991984,25.1925,21.79816245,3695.9
10097530,14.0159,21.7826862,22.149775,25.1537,21.9662306,3696.9
10098530,14.0158,21.7274484,22.0771276,25.1784,21.902288,3697.9
10099530,14.016,21.8030257,22.105297,25.1331,21.95416135,3698.9
10100530,14.0161,21.7229523,22.1893816,25.1853,21.95616695,3699.9
10101530,14.0158,21.7028269,21.9913486,25.1408,21.84708775,3700.9
10102530,14.016,21.6099075,21.9765226,25.1608,21.79321505,3701.9
10103530,14.0159,21.5754374,22.1639656,25.1378,21.8697015,3702.9
10104530,14.0159,21.6649312,22.13389,25.2229,21.8994106,3703.9
10105530,14.0159,22.0856377,22.1792152,25.1661,22.13242645,3704.9
10106530,14.0158,21.6889104,22.1641774,25.1884,21.9265439,3705.9
10107530,14.016,21.7402944,22.2656296,25.1483,22.002962,3706.9
10108530,14.0159,22.180484,22.2868096,25.1335,22.2336468,3707.9
10108620,14.0158,21.8526969,22.0709854,25.1761,21.96184115,3707.99
10108720,41.9879,21.8526969,22.0709854,25.1761,21.96184115,3708.09
10109620,41.9881,21.8049526,22.0271428,25.1737,21.9160477,3708.99
10110620,41.9839,21.8021693,22.1279596,25.1944,21.96506445,3709.99
10111620,41.9837,21.7387957,22.1292304,25.1962,21.93401305,3710.99
10112620,41.9837,22.0601598,22.1449036,25.1597,22.1025317,3711.99
10113620,41.9837,21.7766914,22.1491396,25.1148,21.9629155,3712.99
10114620,41.9837,21.7220959,22.2817264,25.1587,22.00191115,3713.99
10115620,41.9836,22.0201231,22.2145858,25.2238,22.11735445,3714.99
10116620,41.9837,21.9800864,22.7112568,25.2235,22.3456716,3715.99
10117620,41.9836,21.9023681,22.7125276,25.1704,22.30744785,3716.99
10118620,41.9838,21.981371,22.3702588,25.1975,22.1758149,3717.99
10119620,41.9837,22.4990648,22.7298952,25.176,22.61448,3718.99
10120620,41.9836,22.0250474,22.4920438,25.1863,22.2585456,3719.99
10121620,41.984,21.9987131,22.4416354,25.1913,22.22017425,3720.99
10122620,41.9838,22.0530945,22.5464764,25.1399,22.29978545,3721.99
10123620,41.9836,22.2085311,22.8595168,25.2102,22.53402395,3722.99
10124620,41.9837,22.0166975,22.9751596,25.2568,22.49592855,3723.99
10125620,41.9837,22.0166975,22.9751596,25.2568,22.49592855,3724.99
10126620,41.9837,22.1203219,22.6879588,25.2617,22.40414035,3725.99
10127620,41.9837,22.1849801,22.7051146,25.2072,22.44504735,3726.99
10128620,41.9838,22.1278154,22.6932538,25.2845,22.4105346,3727.99
10129620,41.9839,22.3975814,22.6614838,25.1697,22.5295326,3728.99
10130620,41.9837,22.2772572,22.8425728,25.229,22.559915,3729.99
10131620,41.9838,22.1460139,22.7415442,25.2007,22.44377905,3730.99
10132620,41.9838,22.3663228,23.112406,25.1867,22.7393644,3731.99
10133620,41.9837,22.2577741,23.1486238,25.2236,22.70319895,3732.99
10134620,41.9838,22.2881763,22.8637528,25.2225,22.57596455,3733.99
10135620,41.9838,22.4669498,22.965205,25.1489,22.7160774,3734.99
10136620,41.9838,22.3738163,23.2324966,25.2167,22.80315645,3735.99
10137620,41.9837,22.3207195,22.9918918,25.1403,22.65630565,3736.99
10138620,41.9838,22.3969391,22.9287754,25.2284,22.66285725,3737.99
10139620,41.9837,22.4806522,22.9929508,25.2692,22.7368015,3738.99
10140620,41.9838,22.3997224,22.9918918,25.2259,22.6958071,3739.99
10141620,41.9837,22.2804687,22.9834198,25.2525,22.63194425,3740.99
10142620,41.9838,22.7185173,23.0442064,25.1641,22.88136185,3741.99
10143620,41.9837,22.3815239,23.1160066,25.2881,22.74876525,3742.99
10144620,41.9838,22.3446987,23.1350686,25.1959,22.73988365,3743.99
10145620,41.9837,22.4782971,23.0143426,25.2187,22.74631985,3744.99
10146620,41.9839,22.3986519,23.0895316,25.2511,22.74409175,3745.99
10147620,41.9839,22.6440105,23.1755224,25.2578,22.90976645,3746.99
10148620,41.9838,22.4423283,23.131468,25.1966,22.78689815,3747.99
10149620,41.9838,22.3721035,23.270197,25.1975,22.82115025,3748.99
10150620,41.9837,22.4348348,23.1024514,25.2004,22.7686431,3749.99
