Test Time(ms),Current(A),Inlet Temp,Outlet Temp,Thermocouple Temperature,Average Tab Temp,Test Time (s)
7333230,14.016,24.9903324,25.2426904,25.1615,25.1165114,1261
7334230,14.016,24.9511521,24.999544,25.1814,24.97534805,1262
7335230,14.0162,24.8098461,25.018606,25.2542,24.91422605,1263
7336230,14.016,24.7899348,25.1439916,25.1759,24.9669632,1264
7337230,14.0162,24.8578045,25.1613592,25.2285,25.00958185,1265
7338230,14.016,24.8513815,24.9715864,25.2528,24.91148395,1266
7339230,14.0161,24.7899348,25.027078,25.2347,24.9085064,1267
7340230,14.0161,24.9567187,25.0897708,25.2274,25.02324475,1268
7341230,14.0161,24.9235332,25.0340674,25.1715,24.9788003,1269
7342230,14.0161,24.9449432,25.1338252,25.2125,25.0393842,1270
7343230,14.0161,24.9729903,25.1643244,25.2147,25.06865735,1271
7344230,14.016,24.9560764,25.4381818,25.1617,25.1971291,1272
7345230,14.016,25.0881761,25.093795,25.2236,25.09098555,1273
7346230,14.016,25.0470689,25.5123118,25.1816,25.27969035,1274
7347230,14.016,24.9517944,25.1198464,25.1279,25.0358204,1275
7348230,14.0162,25.3016338,25.1238706,25.1634,25.2127522,1276
7349230,14.0159,24.8800709,25.2268054,25.2215,25.05343815,1277
7350230,14.016,25.1087297,25.1736436,25.2898,25.14118665,1278
7351230,14.016,25.0528496,25.2058372,25.1628,25.1293434,1279
7352230,14.0159,25.0753301,25.2365482,25.1683,25.15593915,1280
7353230,14.0161,25.1440562,25.207108,25.1859,25.1755821,1281
7354230,14.0159,25.0806826,25.2308296,25.201,25.1557561,1282
7355230,14.0159,24.9303844,25.4282272,25.2647,25.1793058,1283
7356230,14.016,25.0267294,25.6576066,25.1436,25.342168,1284
7357230,14.016,25.5506321,25.2890746,25.1413,25.41985335,1285
7358230,14.0159,25.23355,25.4108596,25.1794,25.3222048,1286
7359230,14.0161,25.5497757,25.273825,25.2217,25.41180035,1287
7360230,14.016,25.1658944,25.3348234,25.2627,25.2503589,1288
7361230,14.016,25.1211475,25.3752772,25.1768,25.24821235,1289
7362230,14.0159,25.205717,25.794853,25.1584,25.500285,1290
7363230,14.0159,25.1813096,25.6874704,25.1793,25.43439,1291
7364230,14.016,25.145769,25.4320396,25.2005,25.2889043,1292
7365230,14.0161,25.4998904,25.4106478,25.1553,25.4552691,1293
7366230,14.016,25.1277846,25.4479246,25.199,25.2878546,1294
7367230,14.0159,25.4866162,25.5847474,25.1571,25.5356818,1295
7368230,14.016,25.1624688,25.3769716,25.2229,25.2697202,1296
7369230,14.016,25.2459678,25.318303,25.2004,25.2821354,1297
7370230,14.0161,25.580392,25.419967,25.2071,25.5001795,1298
7371230,14.016,25.1402024,25.3113136,25.1974,25.225758,1299
7372230,14.016,25.2575292,25.3305874,25.211,25.2940583,1300
7373230,14.016,25.2119259,25.3060186,25.2899,25.25897225,1301
7374230,14.016,25.1673931,25.3208446,25.2455,25.24411885,1302
7375230,14.016,25.5105954,25.7052616,25.2998,25.6079285,1303
7376230,14.0161,25.5272952,25.1370022,25.2013,25.3321487,1304
7377230,14.016,25.2943544,25.3831138,25.1789,25.3387341,1305
7378230,14.016,25.1485523,25.3759126,25.3065,25.26223245,1306
7379230,14.016,25.0400036,25.2437494,25.2507,25.1418765,1307
7380230,14.0159,25.2348346,25.405141,25.1909,25.3199878,1308
7380320,14.0159,25.2348346,25.405141,25.1909,25.3199878,1308.09
7380420,41.9851,25.2348346,25.405141,25.1909,25.3199878,1308.19
7381320,41.9788,25.2252001,25.1850808,25.1989,25.20514045,1309.09
7382320,41.9836,25.5902406,25.412554,25.2129,25.5013973,1310.09
7383320,41.9835,25.1095861,25.2888628,25.2489,25.19922445,1311.09
7384320,41.9836,25.1637534,25.4599972,25.2206,25.3118753,1312.09
7385320,41.9835,25.1832365,25.6461694,25.2244,25.41470295,1313.09
7386320,41.9835,25.3365321,25.278061,25.2157,25.30729655,1314.09
7387320,41.9836,25.6225697,25.3725238,25.2312,25.49754675,1315.09
7388320,41.9835,25.3453102,25.580935,25.1933,25.4631226,1316.09
7389320,41.9836,25.5013891,25.5705568,25.2585,25.53597295,1317.09
7390320,41.9835,25.4427257,25.6343086,25.1874,25.53851715,1318.09
7391320,41.9836,25.5656191,25.6082572,25.24,25.58693815,1319.09
7392320,41.9836,25.4981776,25.9365472,25.2003,25.7173624,1320.09
7393320,41.9836,25.7146327,25.7804506,25.1863,25.74754165,1321.09
7394320,41.9836,25.7426798,25.765201,25.1993,25.7539404,1322.09
7395320,41.9836,25.8165443,25.8770314,25.2085,25.84678785,1323.09
7396320,41.9836,25.7518861,25.878514,25.295,25.81520005,1324.09
7397320,41.9836,25.8034842,25.9299814,25.2123,25.8667328,1325.09
7398320,41.9836,26.0302161,26.0960326,25.1928,26.06312435,1326.09
7399320,41.9837,25.9773334,26.072311,25.2686,26.0248222,1327.09
7400320,41.9836,26.4509226,26.0896786,25.1921,26.2703006,1328.09
