Test Time(ms),Current (A),Inlet Temp,Outlet Temp,Thermocouple Temp,Average Tab Temp,Test Time (s)
3657810,0,22.8626066,23.152648,25.2768,23.0076273,0
3717710,0,23.1796887,23.2593952,25.294,23.21954195,59.9
3777710,0,22.8422671,23.1556132,25.3253,22.99894015,119.9
3837710,0,23.2205818,23.1321034,25.2831,23.1763426,179.9
3897710,0,22.655786,23.0395468,25.3698,22.8476664,239.9
3957710,0,22.7814627,23.1348568,25.2298,22.95815975,299.9
4017710,0,22.6133942,23.2051744,25.29,22.9092843,359.9
4077710,0,22.9996306,23.1856888,25.2873,23.0926597,419.9
4137710,0,23.0901949,23.1945844,25.2601,23.14238965,479.9
4197710,0,23.1741221,23.2100458,25.2936,23.19208395,539.9
4257710,0,23.4089898,23.1863242,25.1747,23.297657,599.9
4317710,0,22.9386121,23.6173372,25.3314,23.27797465,659.9
4377710,0,22.8294211,23.1587902,25.2385,22.99410565,719.9
4437710,0,22.8578964,23.1393046,25.199,22.9986005,779.9
4497710,0,22.9000741,23.1842062,25.1654,23.04214015,839.9
4557710,0,23.0015575,23.2047508,25.21,23.10315415,899.9
4617710,0,23.0336725,23.2551592,25.2285,23.14441585,959.9
4677710,0,23.1465032,23.3335252,25.3131,23.2400142,1019.9
4737710,0,23.1679132,23.476702,25.3683,23.3223076,1079.9
4797710,0,23.1983154,23.4093496,25.3903,23.3038325,1139.9
4857710,0,23.3188537,23.8401508,25.3683,23.57950225,1199.9
4917710,0,23.3629583,23.6272918,25.3835,23.49512505,1259.9
4977710,0,23.5605726,23.6300452,25.3682,23.5953089,1319.9
5037710,0,23.4271883,23.7007864,25.368,23.56398735,1379.9
5097710,0,23.203882,23.6527078,25.3903,23.4282949,1439.9
5157710,0,23.3822273,23.5891678,25.3711,23.48569755,1499.9
5217710,0,23.8252002,23.8020268,25.4431,23.8136135,1559.9
5277710,0,23.4267601,23.9930704,25.436,23.70991525,1619.9
5337710,0,23.3224934,23.8712854,25.4805,23.5968894,1679.9
5397710,0,23.4089898,23.7927076,25.4056,23.6008487,1739.9
5457710,0,23.5320973,24.0769432,25.4584,23.80452025,1799.9
5517710,0,23.447956,23.873827,25.4404,23.6608915,1859.9
5577710,0,23.452238,23.826172,25.4828,23.639205,1919.9
5637710,0,23.5616431,23.7770344,25.4721,23.66933875,1979.9
5697710,0,23.4385356,23.6724052,25.4214,23.5554704,2039.9
5757710,0,23.3064359,23.495764,25.4164,23.40109995,2099.9
5817710,0,23.1792605,23.4076552,25.3757,23.29345785,2159.9
5877710,0,23.4014963,23.943721,25.3509,23.67260865,2219.9
5937710,0,23.3646711,23.4199396,25.3306,23.39230535,2279.9
5997710,0,23.1732657,23.5048714,25.3461,23.33906855,2339.9
6057710,0,23.212446,23.4489562,25.3325,23.3307011,2399.9
6117710,0,23.2751773,23.5779424,25.2681,23.42655985,2459.9
6177710,0,23.7226463,23.6474128,25.3378,23.68502955,2519.9
6237710,0,23.6318679,23.7045988,25.4095,23.66823335,2579.9
6297710,0,23.4102744,23.8882294,25.3943,23.6492519,2639.9
6357710,0,23.501481,24.0153094,25.4491,23.7583952,2699.9
6417710,0,23.4355382,23.7338272,25.4141,23.5846827,2759.9
6477710,0,23.6532779,23.7164596,25.3691,23.68486875,2819.9
6537710,0,23.7671791,23.7694096,25.3973,23.76829435,2879.9
6597710,0,23.362316,23.5796368,25.3694,23.4709764,2939.9
6657710,0,23.437251,23.687443,25.4499,23.562347,2999.9
6717710,0,23.4745044,24.0498328,25.4678,23.7621686,3059.9
6777710,0,23.1728375,23.4273526,25.3087,23.30009505,3119.9
6837710,0,23.201741,23.746747,25.3269,23.474244,3179.9
6897710,0,23.2507699,23.5463842,25.4127,23.39857705,3239.9
6957710,0,23.6228757,23.789107,25.3915,23.70599135,3299.9
7017710,0,23.4295434,23.7505594,25.364,23.5900514,3359.9
7077710,0,23.5181808,23.9502868,25.3313,23.7342338,3419.9
7137710,0,23.4186243,23.7124354,25.4118,23.56552985,3479.9
7197710,0,23.6222334,23.926777,25.3489,23.7745052,3539.9
7257710,0,23.2220805,23.7772462,25.3777,23.49966335,3599.9
7257810,14.0223,23.2220805,23.7772462,25.3777,23.49966335,3600
7258710,14.013,23.3860811,23.8721326,25.3776,23.62910685,3600.9
7259710,14.016,23.2537673,23.5235098,25.3922,23.38863855,3601.9
7260710,14.016,23.2109473,23.6781238,25.3694,23.44453555,3602.9
7261710,14.0161,23.2002423,23.568835,25.419,23.38453865,3603.9
7262710,14.0161,23.3648852,23.5745536,25.4159,23.4697194,3604.9
7263710,14.0161,23.2120178,23.6753704,25.3907,23.4436941,3605.9
7264710,14.0159,23.5552201,23.5408774,25.3419,23.54804875,3606.9
7265710,14.016,23.3417624,23.4245992,25.395,23.3831808,3607.9
7266710,14.016,23.3100756,23.6436004,25.3905,23.476838,3608.9
7267710,14.0161,23.2653287,23.4707716,25.3526,23.36805015,3609.9
7268710,14.016,23.2565506,23.5595158,25.385,23.4080332,3610.9
7269710,14.016,23.5034079,23.7268378,25.3517,23.61512285,3611.9
7270710,14.016,23.2010987,23.5972162,25.4378,23.39915745,3612.9
7271710,14.0161,23.1008999,23.9062324,25.3567,23.50356615,3613.9
7272710,14.0161,23.3233498,23.6908318,25.4911,23.5070908,3614.9
7273710,14.016,23.2053807,23.6179726,25.4327,23.41167665,3615.9
7274710,14.0161,23.2539814,23.7031162,25.3575,23.4785488,3616.9
7275710,14.0161,23.6078887,23.6668984,25.4271,23.63739355,3617.9
7276710,14.016,23.265971,23.5152496,25.3881,23.3906103,3618.9
7277710,14.016,23.2820285,23.852647,25.3731,23.56733775,3619.9
7278710,14.0161,23.3914336,23.6266564,25.3893,23.509045,3620.9
7279710,14.016,23.2364252,24.0722836,25.3434,23.6543544,3621.9
7280710,14.016,23.2139447,23.6321632,25.4204,23.42305395,3622.9
7281710,14.0159,23.2687543,23.6613916,25.4377,23.46507295,3623.9
7282710,14.0161,23.5639982,23.7162478,25.4064,23.640123,3624.9
7283710,14.016,23.1818297,23.613313,25.431,23.39757135,3625.9
7284710,14.0159,23.4216217,23.6626624,25.4848,23.54214205,3626.9
7285710,14.016,23.1595633,23.8064746,25.4172,23.48301895,3627.9
7286710,14.016,23.4456009,23.6347048,25.3173,23.54015285,3628.9
7287710,14.016,23.2955168,23.6550376,25.3773,23.4752772,3629.9
7288710,14.0159,23.3935746,23.7084112,25.3347,23.5509929,3630.9
7289710,14.0159,23.8181349,23.9625712,25.3642,23.89035305,3631.9
7290710,14.016,23.3550366,23.7770344,25.3474,23.5660355,3632.9
7291710,14.0158,23.452238,23.670499,25.3808,23.5613685,3633.9
7292710,14.016,23.4085616,24.0201808,25.4458,23.7143712,3634.9
7293710,14.0159,23.2640441,23.7736456,25.3951,23.51884485,3635.9
7294710,14.0161,23.4775018,23.696974,25.4456,23.5872379,3636.9
7295710,14.0161,23.6764007,23.6476246,25.3887,23.66201265,3637.9
7296710,14.0161,23.726286,23.9926468,25.3733,23.8594664,3638.9
7297710,14.0159,23.3239921,23.6688046,25.4428,23.49639835,3639.9
7298710,14.0161,23.3747338,23.7109528,25.4465,23.5428433,3640.9
7299710,14.016,23.3569635,23.8573066,25.3566,23.60713505,3641.9
7300710,14.0159,23.7408448,23.7334036,25.4211,23.7371242,3642.9
