SOC,OCV
39.85,11.443
39.95,11.443
40.05,11.444
40.15,11.446
40.25,11.447
40.35,11.448
40.45,11.449
40.55,11.450
40.65,11.451
40.75,11.452
40.85,11.453
40.95,11.454
41.05,11.456
41.15,11.457
41.25,11.458
41.35,11.460
41.45,11.461
41.55,11.463
41.65,11.464
41.75,11.465
41.85,11.466
41.95,11.468
42.05,11.469
42.15,11.470
42.25,11.471
42.35,11.472
42.45,11.473
42.55,11.474
42.65,11.475
42.75,11.477
42.85,11.478
42.95,11.479
43.05,11.480
43.15,11.481
43.25,11.482
43.35,11.483
43.45,11.484
43.55,11.485
43.65,11.487
43.75,11.488
43.85,11.489
43.95,11.490
44.05,11.491
44.15,11.493
44.25,11.494
44.35,11.495
44.45,11.496
44.55,11.497
44.65,11.498
44.75,11.499
44.85,11.500
44.95,11.501
45.05,11.502
45.15,11.503
45.25,11.504
45.35,11.505
45.45,11.506
45.55,11.507
45.65,11.508
45.75,11.510
45.85,11.511
45.95,11.512
46.05,11.514
46.15,11.515
46.25,11.516
46.35,11.518
46.45,11.519
46.55,11.520
46.65,11.522
46.75,11.523
46.85,11.524
46.95,11.525
47.05,11.527
47.15,11.528
47.25,11.530
47.35,11.531
47.45,11.532
47.55,11.534
47.65,11.535
47.75,11.537
47.85,11.538
47.95,11.539
48.05,11.541
48.15,11.543
48.25,11.545
48.35,11.547
48.45,11.548
48.55,11.550
48.65,11.552
48.75,11.553
48.85,11.554
48.95,11.556
49.05,11.558
49.15,11.559
49.25,11.561
49.35,11.562
49.45,11.563
49.55,11.565
49.65,11.566
49.75,11.568
49.85,11.569
49.95,11.571
50.05,11.573
50.15,11.574
50.25,11.576
50.35,11.577
50.45,11.579
50.55,11.581
50.65,11.582
50.75,11.584
50.85,11.586
50.95,11.587
51.05,11.589
51.15,11.591
51.25,11.593
51.35,11.594
51.45,11.596
51.55,11.598
51.65,11.599
51.75,11.601
51.85,11.603
51.95,11.605
52.05,11.606
52.15,11.608
52.25,11.610
52.35,11.612
52.45,11.613
52.55,11.615
52.65,11.617
52.75,11.619
52.85,11.621
52.95,11.623
53.05,11.626
53.15,11.629
53.25,11.630
53.35,11.632
53.45,11.634
53.55,11.636
53.65,11.639
53.75,11.641
53.85,11.642
53.95,11.644
54.05,11.646
54.15,11.648
54.25,11.650
54.35,11.653
54.45,11.655
54.55,11.657
54.65,11.659
54.75,11.661
54.85,11.663
54.95,11.665
55.05,11.667
55.15,11.669
55.25,11.671
55.35,11.674
55.45,11.676
55.55,11.678
55.65,11.680
55.75,11.683
55.85,11.685
55.95,11.687
56.05,11.690
56.15,11.692
56.25,11.694
56.35,11.697
56.45,11.699
56.55,11.701
56.65,11.704
56.75,11.706
56.85,11.709
56.95,11.711
57.05,11.714
57.15,11.716
57.25,11.719
57.35,11.722
57.45,11.726
57.55,11.729
57.65,11.731
57.75,11.734
57.85,11.736
57.95,11.739
58.05,11.741
58.15,11.744
58.25,11.746
58.35,11.748
58.45,11.751
58.55,11.754
58.65,11.756
58.75,11.759
58.85,11.762
58.95,11.764
59.05,11.767
59.15,11.769
59.25,11.772
59.35,11.775
59.45,11.777
59.55,11.780
59.65,11.783
59.75,11.785
59.85,11.788
59.95,11.790
60.05,11.793
60.15,11.796
60.25,11.798
60.35,11.801
60.45,11.804
60.55,11.806
60.65,11.809
60.75,11.811
60.85,11.814
60.95,11.816
61.05,11.818
61.15,11.821
61.25,11.823
61.35,11.826
61.45,11.828
61.55,11.830
61.65,11.833
61.75,11.835
61.85,11.838
61.95,11.840
62.05,11.843
62.15,11.845
62.25,11.847
62.35,11.849
62.45,11.851
62.55,11.854
62.65,11.856
62.75,11.858
62.85,11.861
62.95,11.863
63.05,11.865
63.15,11.867
63.25,11.870
63.35,11.872
63.45,11.874
63.55,11.876
63.65,11.879
63.75,11.882
63.85,11.884
63.95,11.887
64.05,11.889
64.15,11.891
64.25,11.893
64.35,11.895
64.45,11.897
64.55,11.899
64.65,11.901
64.75,11.903
64.85,11.905
64.95,11.907
65.05,11.909
65.15,11.911
65.25,11.913
65.35,11.915
65.45,11.917
65.55,11.919
65.65,11.921
65.75,11.923
65.85,11.926
65.95,11.928
66.05,11.930
66.15,11.932
66.25,11.935
66.35,11.937
66.45,11.939
66.55,11.941
66.65,11.944
66.75,11.946
66.85,11.948
66.95,11.950
67.05,11.953
67.15,11.955
67.25,11.958
67.35,11.961
67.45,11.964
67.55,11.966
67.65,11.969
67.75,11.971
67.85,11.974
67.95,11.977
68.05,11.979
68.15,11.981
68.25,11.984
68.35,11.987
68.45,11.989
68.55,11.992
68.65,11.994
68.75,11.997
68.85,11.999
68.95,12.002
69.05,12.005
69.15,12.007
69.25,12.010
69.35,12.013
69.45,12.015
69.55,12.018
69.65,12.021
69.75,12.023
69.85,12.026
69.95,12.029
70.05,12.032
70.15,12.035
70.25,12.038
70.35,12.041
70.45,12.044
70.55,12.047
70.65,12.050
70.75,12.053
70.85,12.056
70.95,12.060
71.05,12.064
71.15,12.069
71.25,12.072
71.35,12.075
71.45,12.079
71.55,12.083
71.65,12.086
71.75,12.090
71.85,12.094
71.95,12.098
72.05,12.102
72.15,12.105
72.25,12.108
72.35,12.111
72.45,12.114
72.55,12.119
72.65,12.124
72.75,12.128
72.85,12.132
72.95,12.136
73.05,12.140
73.15,12.143
73.25,12.147
73.35,12.152
73.45,12.156
73.55,12.159
73.65,12.163
73.75,12.166
73.85,12.168
73.95,12.171
74.05,12.174
74.15,12.177
74.25,12.180
74.35,12.183
74.45,12.187
74.55,12.190
74.65,12.192
74.75,12.195
74.85,12.198
74.95,12.201
75.05,12.204
75.15,12.207
75.25,12.210
75.35,12.213
75.45,12.216
75.55,12.219
75.65,12.221
75.75,12.224
75.85,12.227
75.95,12.229
76.05,12.232
76.15,12.235
76.25,12.237
76.35,12.240
76.45,12.242
76.55,12.245
76.65,12.247
76.75,12.250
76.85,12.252
76.95,12.254
77.05,12.257
77.15,12.259
77.25,12.262
77.35,12.264
77.45,12.267
77.55,12.269
77.65,12.272
77.75,12.274
77.85,12.277
77.95,12.280
78.05,12.282
78.15,12.285
78.25,12.287
78.35,12.290
78.45,12.293
78.55,12.296
78.65,12.299
78.75,12.302
78.85,12.305
78.95,12.307
79.05,12.310
79.15,12.313
79.25,12.316
79.35,12.321
79.45,12.324
79.55,12.327
79.65,12.330
79.75,12.333
79.85,12.336
79.95,12.339
80.05,12.342
80.15,12.345
80.25,12.349
80.35,12.351
80.45,12.355
80.55,12.357
80.65,12.360
80.75,12.364
80.85,12.367
80.95,12.370
81.05,12.373
81.15,12.378
81.25,12.381
81.35,12.384
81.45,12.387
81.55,12.390
81.65,12.394
81.75,12.397
81.85,12.400
81.95,12.403
82.05,12.406
82.15,12.409
82.25,12.412
82.35,12.415
82.45,12.418
82.55,12.422
